City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Gueret,FR,46.1667,1.8667,53.22,92,24,3.36,few clouds
147,Bowmore,US,34.9421,-79.3031,71.73,66,20,1.01,few clouds
148,Mitsamiouli,KM,-11.3847,43.2844,76.24,80,14,9.75,few clouds
149,Tamandare,BR,-8.7597,-35.1047,82.54,65,53,12.1,broken clouds
150,Chyhyryn,UA,49.0838,32.6555,52.36,91,70,4.7,broken clouds
151,Danville,US,36.586,-79.395,72.88,54,0,1.99,clear sky
152,Teguise,ES,29.0605,-13.564,71.82,83,20,4.61,few clouds
153,Ughelli,NG,5.4899,6.0074,80.29,82,89,6.55,light rain
154,San Jose De Ocoa,DO,18.55,-70.5,83.88,56,76,5.28,light rain
155,Sabha,LY,27.0377,14.4283,71.51,25,0,7.9,clear sky
156,Nijar,ES,36.9665,-2.206,73.65,69,0,1.14,clear sky
157,Andilamena,MG,-17.0167,48.5833,64.51,91,66,2.71,light rain
158,Malinovskiy,RU,61.1953,62.8397,33.96,97,100,10.8,snow
159,Amapa,BR,1.0,-52.0,97.18,32,80,5.12,broken clouds
160,Nouadhibou,MR,20.931,-17.0347,71.58,78,0,18.41,clear sky
161,Aden,YE,12.7794,45.0367,84.07,58,0,11.92,clear sky
162,Roissy-En-Brie,FR,48.8,2.65,62.91,83,76,14.74,broken clouds
163,Camacha,PT,33.0833,-16.3333,69.22,64,20,19.57,few clouds
164,San Roque,ES,36.2107,-5.3842,76.03,44,0,8.05,clear sky
165,Auchel,FR,50.5034,2.4735,60.44,71,88,11.99,light rain
166,Qandala,SO,11.472,49.8728,81.3,63,4,5.19,clear sky
167,Paveh,IR,35.0434,46.3565,56.77,54,81,2.37,broken clouds
168,Nieuw Amsterdam,SR,5.8833,-55.0833,93.36,57,40,5.75,scattered clouds
169,Padang,ID,-0.9492,100.3543,77.16,87,100,3.22,light rain
170,Nanortalik,GL,60.1432,-45.2371,34.56,85,54,14.0,broken clouds
171,Fenoarivo,MG,-18.933,47.4354,71.67,60,40,8.05,scattered clouds
172,Vestmanna,FO,62.1564,-7.1664,50.92,82,75,12.66,broken clouds
173,Lebu,CL,-37.6167,-73.65,58.14,74,83,8.99,broken clouds
174,Bozoum,CF,6.3193,16.3799,72.36,86,29,3.31,scattered clouds
175,Cockburn Town,TC,21.4612,-71.1419,81.97,70,99,5.84,overcast clouds
176,Taoudenni,ML,22.6783,-3.9836,93.43,9,99,8.79,overcast clouds
177,Bereda,ES,43.2686,-7.5406,62.15,83,100,2.86,overcast clouds
178,Falun,SE,60.6036,15.626,43.21,97,100,8.05,overcast clouds
179,Petrov Val,RU,50.1434,45.2096,45.25,95,100,7.76,overcast clouds
180,Tutoia,BR,-2.7619,-42.2744,85.15,66,23,16.96,few clouds
181,Takoradi,GH,4.8845,-1.7554,80.76,82,88,10.09,light rain
182,Sinazongwe,ZM,-17.2614,27.4618,85.35,38,72,4.74,broken clouds
183,North Bay,CA,46.3168,-79.4663,66.22,45,20,10.36,few clouds
184,Hamilton,US,39.1834,-84.5333,74.98,42,0,9.22,clear sky
185,Sorland,NO,67.667,12.6934,40.86,64,87,21.54,overcast clouds
186,San Lorenzo,PY,-25.3333,-57.5333,90.54,33,0,10.36,clear sky
187,Ambilobe,MG,-13.2,49.05,74.23,78,33,4.7,light rain
188,San Ramon,US,37.7799,-121.978,64.74,45,0,0.0,clear sky
189,Ormara,PK,25.2088,64.6357,80.92,73,0,14.88,clear sky
190,Bom Jesus Do Galho,BR,-19.8289,-42.3161,75.79,65,100,4.79,overcast clouds
191,Leshukonskoye,RU,64.8989,45.7622,32.16,84,75,11.07,broken clouds
192,Beisfjord,NO,68.3751,17.5988,28.45,80,93,5.95,overcast clouds
193,Karasjok,NO,69.4719,25.5112,30.69,85,100,3.4,overcast clouds
194,Saldanha,ZA,-33.0117,17.9442,68.05,87,94,23.42,overcast clouds
195,Grindavik,IS,63.8424,-22.4338,46.35,76,75,5.75,broken clouds
196,Kedzierzyn-Kozle,PL,50.3498,18.2261,61.2,73,86,10.2,overcast clouds
197,Trairi,BR,-3.2778,-39.2689,87.04,55,33,15.97,scattered clouds
198,Lodwar,KE,3.1191,35.5973,90.0,31,25,13.2,scattered clouds
199,Natal,BR,-5.795,-35.2094,84.42,61,40,14.97,scattered clouds
200,Bonfim,BR,3.0833,-59.95,93.16,46,99,3.04,overcast clouds
201,Dovolnoye,RU,54.4958,79.6671,31.21,67,20,11.61,few clouds
202,Luderitz,NA,-26.6481,15.1594,63.46,75,73,17.31,broken clouds
203,Balkanabat,TM,39.5108,54.3671,68.11,48,70,3.38,broken clouds
204,Galle,LK,6.0367,80.217,77.77,88,97,6.87,overcast clouds
205,Mamallapuram,IN,12.6264,80.1722,82.45,55,0,1.25,clear sky
206,Hofn,IS,64.2539,-15.2082,44.62,65,75,8.05,broken clouds
207,Iqaluit,CA,63.7506,-68.5145,20.93,79,100,17.27,light snow
208,Rio Claro,BR,-22.4114,-47.5614,87.87,28,0,6.91,clear sky
209,Belmonte,BR,-15.8631,-38.8828,77.94,77,98,5.59,moderate rain
