City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Constitucion,-35.3333,-72.4167,54.59,70,0,9.31,CL,2022-07-28 22:18:03
157,Nikolskoye,59.7035,30.7861,59.81,84,98,3.53,RU,2022-07-28 22:18:04
158,Bridlington,54.0831,-0.1919,61.9,84,100,11.59,GB,2022-07-28 22:16:10
159,Kenai,60.5544,-151.2583,70.03,39,0,6.91,US,2022-07-28 22:18:04
160,Onguday,50.75,86.15,54.84,76,31,2.98,RU,2022-07-28 22:18:05
161,Sioux Lookout,50.1001,-91.917,66.27,59,75,13.8,CA,2022-07-28 22:16:15
162,Manokwari,-0.8667,134.0833,78.53,78,100,2.33,ID,2022-07-28 22:18:05
163,Talnakh,69.4865,88.3972,54.93,72,0,7.45,RU,2022-07-28 22:18:05
164,Meadow Lake,34.8014,-106.5436,84.61,41,70,10.0,US,2022-07-28 22:16:12
165,Dingtao,35.0683,115.5625,71.37,97,2,5.77,CN,2022-07-28 22:18:06
166,Ahuimanu,21.4447,-157.8378,87.51,59,40,11.5,US,2022-07-28 22:18:06
167,Najran,17.4924,44.1277,86.65,42,28,5.57,SA,2022-07-28 22:18:07
168,Pisco,-13.7,-76.2167,62.65,77,0,16.11,PE,2022-07-28 22:18:07
169,Sistranda,63.7256,8.834,53.56,69,97,7.83,NO,2022-07-28 22:18:07
170,Fortuna,40.5982,-124.1573,71.92,74,20,17.27,US,2022-07-28 22:18:08
171,Homer,59.6425,-151.5483,69.76,47,0,4.61,US,2022-07-28 22:14:15
172,Porrentruy,47.4153,7.0752,69.6,81,47,3.44,CH,2022-07-28 22:18:08
173,Dawlatabad,36.4141,64.9053,82.74,23,0,4.85,AF,2022-07-28 22:18:09
174,Port Elizabeth,-33.918,25.5701,62.31,81,0,9.22,ZA,2022-07-28 22:18:09
175,Russell,32.3502,-85.1999,92.01,55,0,6.91,US,2022-07-28 22:18:09
176,Banda Aceh,5.5577,95.3222,77.5,85,100,14.18,ID,2022-07-28 22:18:10
177,Terrace Bay,48.7834,-87.1,57.43,89,94,11.43,CA,2022-07-28 22:18:10
178,Leningradskiy,69.3833,178.4167,41.47,75,97,7.54,RU,2022-07-28 22:18:10
179,Comodoro Rivadavia,-45.8667,-67.5,51.66,40,0,29.93,AR,2022-07-28 22:18:10
180,Astoria,46.1879,-123.8313,72.43,80,0,9.22,US,2022-07-28 22:18:11
181,Mirante Do Paranapanema,-22.2919,-51.9064,75.94,27,45,4.03,BR,2022-07-28 22:18:11
182,Portobelo,9.55,-79.65,74.95,87,100,0.76,PA,2022-07-28 22:19:11
183,Santa Vitoria Do Palmar,-33.5189,-53.3681,48.72,85,85,15.1,BR,2022-07-28 22:17:53
184,Waipawa,-41.4122,175.5153,51.4,76,45,6.08,NZ,2022-07-28 22:19:12
185,Hornepayne,49.2138,-84.7705,60.08,94,100,7.63,CA,2022-07-28 22:19:12
186,Gorom-Gorom,14.4439,-0.2361,84.99,59,86,20.6,BF,2022-07-28 22:19:13
187,Provideniya,64.3833,-173.3,50.36,93,100,7.0,RU,2022-07-28 22:19:13
188,Progreso,21.2833,-89.6667,80.71,77,88,15.86,MX,2022-07-28 22:19:13
189,Honningsvag,70.9821,25.9704,47.95,81,100,9.22,NO,2022-07-28 22:19:14
190,Qaanaaq,77.484,-69.3632,41.47,67,13,3.13,GL,2022-07-28 22:19:14
191,Cabo San Lucas,22.8909,-109.9124,94.6,56,40,8.01,MX,2022-07-28 22:19:14
192,Saint-Augustin,51.226,-58.6502,56.5,75,100,9.84,CA,2022-07-28 22:19:15
193,Severo-Kurilsk,50.6789,156.125,54.18,90,100,9.75,RU,2022-07-28 22:19:15
194,Ardakan,32.31,54.0175,90.3,40,99,2.44,IR,2022-07-28 22:19:15
195,Mehamn,71.0357,27.8492,48.15,87,75,8.05,NO,2022-07-28 22:19:16
196,Bloomingdale,27.8936,-82.2404,96.06,65,57,3.0,US,2022-07-28 22:17:50
197,Wajir,1.7471,40.0573,74.75,56,11,15.64,KE,2022-07-28 22:19:16
198,Andes,5.6561,-75.8788,69.12,90,92,1.81,CO,2022-07-28 22:19:17
199,Guasdualito,7.2424,-70.7324,84.16,70,40,0.0,VE,2022-07-28 22:19:17
200,Kudat,6.8837,116.8477,76.93,94,20,2.3,MY,2022-07-28 22:19:17
201,Alta Floresta,-9.8756,-56.0861,80.58,27,6,2.26,BR,2022-07-28 22:19:18
202,Birao,10.2849,22.7882,69.19,98,99,4.05,CF,2022-07-28 22:19:18
203,Clyde River,70.4692,-68.5914,39.43,100,100,11.5,CA,2022-07-28 22:19:18
204,Katsuura,35.1333,140.3,81.18,88,76,9.71,JP,2022-07-28 22:19:19
205,La Ronge,55.1001,-105.2842,79.05,27,20,9.22,CA,2022-07-28 22:16:12
206,Tadine,-21.55,167.8833,71.94,68,0,14.85,NC,2022-07-28 22:19:19
207,Bentiu,9.2333,29.8333,70.54,96,97,3.78,SS,2022-07-28 22:19:19
208,Rundu,-17.9333,19.7667,58.03,32,13,6.06,NA,2022-07-28 22:19:20
209,Abu Zabad,12.35,29.25,74.46,84,97,11.65,SD,2022-07-28 22:19:20
210,Srandakan,-7.9386,110.2506,72.73,91,85,5.03,ID,2022-07-28 22:19:21
211,Saint-Philippe,-21.3585,55.7679,67.59,84,18,9.62,RE,2022-07-28 22:19:21
212,Xam Nua,20.4197,104.0439,68.32,86,100,2.17,LA,2022-07-28 22:19:21
213,Pinega,64.7001,43.3936,60.57,96,98,3.53,RU,2022-07-28 22:19:22
214,El Alto,-4.2714,-81.2147,65.86,77,13,11.95,PE,2022-07-28 22:19:22
215,Gobabis,-22.45,18.9667,59.43,32,72,8.21,NA,2022-07-28 22:19:22
216,Belaya Gora,68.5333,146.4167,54.12,45,100,12.39,RU,2022-07-28 22:19:22
217,Touros,-5.1989,-35.4608,76.37,81,6,13.0,BR,2022-07-28 22:18:54
218,Nyagan,62.1406,65.3936,55.47,71,0,1.57,RU,2022-07-28 22:19:23
219,Saint-Joseph,-21.3667,55.6167,66.58,81,8,9.53,RE,2022-07-28 22:19:23
220,Biak,-0.9131,122.8766,73.99,93,98,4.56,ID,2022-07-28 22:19:24
221,Atuona,-9.8,-139.0333,76.15,80,28,24.23,PF,2022-07-28 22:15:23
222,Grindavik,63.8424,-22.4338,48.67,93,100,13.8,IS,2022-07-28 22:19:24
223,Natal,-5.795,-35.2094,79.02,83,0,21.85,BR,2022-07-28 22:19:18
224,Kroya,-7.6331,109.2461,73.72,91,70,1.14,ID,2022-07-28 22:19:24
225,Pandan,14.0453,124.1694,81.46,81,95,8.72,PH,2022-07-28 22:19:25
226,Glenwood Springs,39.5505,-107.3248,76.01,54,100,6.91,US,2022-07-28 22:19:25
227,Galle,6.0367,80.217,78.03,88,100,6.82,LK,2022-07-28 22:19:25
228,Lamesa,32.7376,-101.951,98.53,22,0,11.16,US,2022-07-28 22:19:26
229,Scarborough,54.2797,-0.4044,57.9,84,100,8.01,GB,2022-07-28 22:17:07
230,Asaka,35.8047,139.6019,84.79,73,10,3.62,JP,2022-07-28 22:20:26
231,Yigou,35.8114,114.3167,71.1,94,0,5.53,CN,2022-07-28 22:20:27
232,Joaima,-16.6542,-41.0306,68.31,51,0,1.81,BR,2022-07-28 22:20:27
233,Alofi,-19.0595,-169.9187,78.69,78,75,16.11,NU,2022-07-28 22:20:27
234,Toora-Khem,52.4675,96.11,45.28,94,34,1.34,RU,2022-07-28 22:20:28
235,Gizo,-8.103,156.8419,82.47,72,67,7.94,SB,2022-07-28 22:20:28
